<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,134900,3694.4800000,3694.4800000,3693.5300000,3694.4300000,54
20210104,135000,3694.4400000,3695.1300000,3693.8300000,3694.7300000,56
20210104,135100,3694.9100000,3696.0700000,3694.6400000,3696.0700000,53
20210104,135200,3696.1000000,3697.9500000,3696.1000000,3697.9500000,57
20210104,135300,3697.9800000,3699.1600000,3697.9800000,3699.0000000,55
20210104,135400,3699.0200000,3699.7900000,3699.0200000,3699.7400000,52
20210104,135500,3699.7100000,3699.8800000,3698.9800000,3699.1400000,54
20210104,135600,3699.2000000,3699.7700000,3698.7600000,3698.7700000,60
20210104,135700,3698.7000000,3698.8800000,3698.5500000,3698.7600000,54
20210104,135800,3698.7500000,3699.9800000,3698.7300000,3699.8900000,54
20210104,135900,3699.9300000,3700.4000000,3699.6100000,3700.0300000,52
20210104,140000,3700.0200000,3700.0900000,3698.8700000,3699.5700000,53
20210104,140100,3699.5200000,3699.5300000,3696.0800000,3696.0800000,60
20210104,140200,3696.0200000,3697.3000000,3695.8400000,3696.4800000,55
20210104,140300,3696.4700000,3698.2400000,3696.4500000,3697.9500000,54
20210104,140400,3697.9600000,3698.4200000,3697.9200000,3698.2300000,52
20210104,140500,3698.2000000,3698.2300000,3694.6100000,3694.6100000,52
20210104,140600,3694.3200000,3695.9700000,3694.1400000,3695.5900000,56
20210104,140700,3695.5700000,3695.7500000,3694.2600000,3694.2600000,54
20210104,140800,3694.1400000,3694.2600000,3693.1100000,3693.1100000,59
20210104,140900,3693.0500000,3693.0500000,3690.0600000,3690.0700000,54
20210104,141000,3690.0600000,3690.8800000,3689.9000000,3690.2200000,58
20210104,141100,3690.0600000,3690.3700000,3687.2200000,3687.4500000,58
20210104,141200,3687.5200000,3690.0500000,3687.5200000,3689.5900000,59
20210104,141300,3689.6400000,3690.7200000,3689.5200000,3690.4300000,54
20210104,141400,3690.4100000,3692.4200000,3690.2400000,3691.9500000,58
20210104,141500,3692.0100000,3692.0100000,3690.2100000,3690.4300000,54
20210104,141600,3690.4800000,3692.5100000,3690.4600000,3691.9600000,54
20210104,141700,3691.8200000,3692.5700000,3691.2600000,3692.5400000,57
20210104,141800,3692.5800000,3692.9700000,3691.8500000,3691.8500000,53
20210104,141900,3691.7700000,3691.8100000,3690.4800000,3691.1200000,57
20210104,142000,3691.1300000,3691.5000000,3690.4900000,3691.0500000,56
20210104,142100,3691.0400000,3691.1500000,3689.1900000,3691.0100000,55
20210104,142200,3691.0900000,3692.0400000,3691.0800000,3692.0200000,57
20210104,142300,3692.0500000,3692.7700000,3691.9200000,3692.7700000,52
20210104,142400,3692.8200000,3694.4900000,3692.7800000,3694.2600000,58
20210104,142500,3694.3100000,3694.3100000,3691.9200000,3691.9700000,58
20210104,142600,3691.9800000,3691.9800000,3690.6500000,3691.4000000,55
20210104,142700,3691.4400000,3691.9400000,3691.3400000,3691.9100000,58
20210104,142800,3691.9900000,3692.2300000,3691.4300000,3692.1200000,53
20210104,142900,3692.1500000,3692.1500000,3691.0700000,3691.6300000,51
20210104,143000,3691.7400000,3691.8100000,3688.3800000,3689.1600000,58
20210104,143100,3689.2400000,3689.9400000,3689.2200000,3689.4300000,54
20210104,143200,3689.5600000,3689.5600000,3687.3300000,3687.4100000,58
20210104,143300,3687.3500000,3688.0800000,3687.1400000,3687.3800000,54
20210104,143400,3687.3300000,3687.4600000,3685.7000000,3685.9000000,53
20210104,143500,3685.8600000,3686.4400000,3684.0100000,3684.0400000,58
20210104,143600,3684.0300000,3685.2900000,3684.0300000,3684.7400000,55
20210104,143700,3684.6400000,3686.1200000,3684.5500000,3686.1200000,52
20210104,143800,3686.1000000,3688.8500000,3686.0800000,3688.8500000,57
20210104,143900,3688.7900000,3688.7900000,3686.5800000,3687.3600000,52
20210104,144000,3687.5100000,3688.5000000,3686.4700000,3686.4800000,58
20210104,144100,3686.4200000,3686.4300000,3685.5900000,3685.6600000,56
20210104,144200,3685.8100000,3686.8900000,3685.8100000,3686.8600000,53
20210104,144300,3686.8800000,3688.0300000,3686.8800000,3687.5000000,53
20210104,144400,3687.4700000,3687.4700000,3686.4400000,3686.6600000,55
20210104,144500,3686.6500000,3687.3800000,3686.1600000,3686.3300000,53
20210104,144600,3686.2700000,3687.1000000,3686.2700000,3686.9200000,52
